POD,CPU,MEMORY,TIME,Resource,
frontend-767bb5b6b6-5fvdr,68,32Mi,1703212396,114.4578313,
frontend-767bb5b6b6-5fvdr,110,32Mi,1703212417,106.4257028,
frontend-767bb5b6b6-5fvdr,83,32Mi,1703212439,119.1432396,
frontend-767bb5b6b6-5fvdr,95,32Mi,1703212460,129.1834003,
frontend-767bb5b6b6-5fvdr,80,32Mi,1703212482,119.1432396,
frontend-767bb5b6b6-5fvdr,70,32Mi,1703212503,117.1352075,
frontend-767bb5b6b6-5fvdr,84,32Mi,1703212525,100.4016064,
frontend-767bb5b6b6-5fvdr,71,32Mi,1703212546,103.0789826,
frontend-767bb5b6b6-5fvdr,76,32Mi,1703212568,103.7483266,
frontend-767bb5b6b6-5fvdr,77,31Mi,1703212590,98.3935743,
