POD,CPU,MEMORY,TIME,Resource,,,
frontend-767bb5b6b6-cjccz,92,29Mi,1703256955,123.2511987,,,
frontend-767bb5b6b6-cjccz,90,29Mi,1703256977,116.565693,,,
frontend-767bb5b6b6-cjccz,89,29Mi,1703256998,121.0013119,,,
frontend-767bb5b6b6-cjccz,82,29Mi,1703257020,121.3018399,,,
frontend-767bb5b6b6-cjccz,108,29Mi,1703257041,110.7731364,,,
frontend-767bb5b6b6-cjccz,89,29Mi,1703257063,126.1893921,,,
frontend-767bb5b6b6-cjccz,100,29Mi,1703257084,129.9591667,,,
frontend-767bb5b6b6-cjccz,115,29Mi,1703257106,130.1297539,,,
frontend-767bb5b6b6-cjccz,103,29Mi,1703257127,148.1133796,,,
frontend-767bb5b6b6-cjccz,85,29Mi,1703257149,136.9131199,,,
frontend-767bb5b6b6-cjccz,100,29Mi,1703257171,128.8078783,,,
frontend-767bb5b6b6-cjccz,97,29Mi,1703257192,128.0274155,,,
frontend-767bb5b6b6-cjccz,96,29Mi,1703257214,128.0843067,,,
frontend-767bb5b6b6-cjccz,78,29Mi,1703257235,128.863476,,,
frontend-767bb5b6b6-cjccz,102,29Mi,1703257257,122.2142602,,,
frontend-767bb5b6b6-cjccz,102,29Mi,1703257278,122.0233471,,,
frontend-767bb5b6b6-cjccz,87,29Mi,1703257300,135.8182819,,,
frontend-767bb5b6b6-cjccz,112,29Mi,1703257321,133.0394269,,,
frontend-767bb5b6b6-cjccz,96,29Mi,1703257343,119.3360001,,,
frontend-767bb5b6b6-cjccz,109,29Mi,1703257364,127.7215923,,,
frontend-767bb5b6b6-cjccz,89,29Mi,1703257386,140.8669923,,,
frontend-767bb5b6b6-cjccz,76,29Mi,1703257408,123.21006,,,
frontend-767bb5b6b6-cjccz,112,29Mi,1703257429,118.8897641,,,
frontend-767bb5b6b6-cjccz,81,29Mi,1703257451,112.6843624,,,
frontend-767bb5b6b6-cjccz,104,29Mi,1703257472,124.1269375,,,
frontend-767bb5b6b6-cjccz,86,29Mi,1703257494,125.3538042,,,
frontend-767bb5b6b6-cjccz,102,29Mi,1703257515,123.6052042,,,
frontend-767bb5b6b6-cjccz,100,29Mi,1703257537,129.8299238,,,
frontend-767bb5b6b6-cjccz,108,29Mi,1703257558,128.4293414,,,
frontend-767bb5b6b6-cjccz,102,29Mi,1703257580,141.096412,,,
frontend-767bb5b6b6-cjccz,97,30Mi,1703257601,134.766524,,,
frontend-767bb5b6b6-cjccz,122,30Mi,1703257623,128.4284133,,,
frontend-767bb5b6b6-cjccz,92,30Mi,1703257645,148.768059,,,
frontend-767bb5b6b6-cjccz,102,30Mi,1703257666,123.8876534,,,
frontend-767bb5b6b6-cjccz,107,30Mi,1703257688,135.1114774,,,
frontend-767bb5b6b6-cjccz,87,30Mi,1703257710,138.167216,,,
frontend-767bb5b6b6-cjccz,104,30Mi,1703257731,135.3916029,,,
frontend-767bb5b6b6-cjccz,90,30Mi,1703257753,127.2749527,,,
frontend-767bb5b6b6-cjccz,98,30Mi,1703257774,122.3848494,,,
frontend-767bb5b6b6-cjccz,85,30Mi,1703257796,133.1394455,,,
frontend-767bb5b6b6-cjccz,94,30Mi,1703257817,121.8611944,,,
frontend-767bb5b6b6-cjccz,97,30Mi,1703257839,124.5257248,,,
frontend-767bb5b6b6-cjccz,100,30Mi,1703257860,128.0131345,,,
frontend-767bb5b6b6-cjccz,96,30Mi,1703257882,133.3819926,,,
frontend-767bb5b6b6-cjccz,98,30Mi,1703257903,127.3686431,,,
frontend-767bb5b6b6-cjccz,92,30Mi,1703257925,129.7443808,,,
frontend-767bb5b6b6-cjccz,102,30Mi,1703257947,123.5234753,,,
frontend-767bb5b6b6-cjccz,88,30Mi,1703257968,134.0966761,,,
frontend-767bb5b6b6-cjccz,96,30Mi,1703257990,122.3638249,,,
frontend-767bb5b6b6-cjccz,96,30Mi,1703258011,128.9009538,,,
frontend-767bb5b6b6-cjccz,96,30Mi,1703258033,127.0552146,,,
frontend-767bb5b6b6-cjccz,94,30Mi,1703258054,127.3825438,,,
frontend-767bb5b6b6-cjccz,96,30Mi,1703258076,125.2416043,,,
frontend-767bb5b6b6-cjccz,106,30Mi,1703258100,127.7633939,,,
frontend-767bb5b6b6-cjccz,71,30Mi,1703258121,139.8782143,,,
frontend-767bb5b6b6-cjccz,81,30Mi,1703258143,113.8588669,,,
frontend-767bb5b6b6-cjccz,98,30Mi,1703258164,112.9351672,,,
frontend-767bb5b6b6-cjccz,95,30Mi,1703258186,117.2676004,,,
frontend-767bb5b6b6-cjccz,80,30Mi,1703258208,122.8242515,,,
frontend-767bb5b6b6-cjccz,78,30Mi,1703258229,113.57308,,,
frontend-767bb5b6b6-cjccz,88,30Mi,1703258251,105.8244787,,,
frontend-767bb5b6b6-cjccz,96,30Mi,1703258272,114.9619185,,,
frontend-767bb5b6b6-cjccz,95,30Mi,1703258294,125.5098387,,,
frontend-767bb5b6b6-cjccz,83,30Mi,1703258316,124.8402798,,,
frontend-767bb5b6b6-cjccz,97,30Mi,1703258337,112.9427953,,,
frontend-767bb5b6b6-cjccz,78,30Mi,1703258359,122.4355571,,,
frontend-767bb5b6b6-cjccz,87,30Mi,1703258381,125.9839326,,,
frontend-767bb5b6b6-cjccz,87,30Mi,1703258402,115.5048648,,,
frontend-767bb5b6b6-cjccz,87,30Mi,1703258424,115.3365522,,,
frontend-767bb5b6b6-cjccz,95,30Mi,1703258446,116.0758141,,,
frontend-767bb5b6b6-cjccz,95,30Mi,1703258468,125.0358104,,,
frontend-767bb5b6b6-cjccz,86,30Mi,1703258489,125.806461,,,
frontend-767bb5b6b6-cjccz,93,30Mi,1703258511,115.7162439,,,
frontend-767bb5b6b6-cjccz,92,30Mi,1703258533,122.7843157,,,
frontend-767bb5b6b6-cjccz,94,30Mi,1703258554,122.0227178,,,
frontend-767bb5b6b6-cjccz,85,29Mi,1703258576,125.1515901,,,
frontend-767bb5b6b6-cjccz,93,29Mi,1703258598,114.2898056,,,
frontend-767bb5b6b6-cjccz,91,29Mi,1703258619,121.1872787,,,
frontend-767bb5b6b6-cjccz,98,29Mi,1703258641,121.1312063,,,
frontend-767bb5b6b6-cjccz,84,29Mi,1703258662,129.0617828,,,
frontend-767bb5b6b6-cjccz,111,29Mi,1703258684,123.5377353,,,
frontend-767bb5b6b6-cjccz,88,29Mi,1703258706,120.4179294,,,
frontend-767bb5b6b6-cjccz,115,29Mi,1703258727,128.0874466,,,
frontend-767bb5b6b6-cjccz,85,29Mi,1703258749,118.8167884,,,
frontend-767bb5b6b6-cjccz,114,29Mi,1703258770,133.2265518,,,
frontend-767bb5b6b6-cjccz,96,29Mi,1703258792,115.1690742,,,
frontend-767bb5b6b6-cjccz,84,29Mi,1703258814,128.1221224,,,
frontend-767bb5b6b6-cjccz,102,29Mi,1703258835,117.9926018,,,
frontend-767bb5b6b6-cjccz,82,29Mi,1703258857,117.4316888,,,
frontend-767bb5b6b6-cjccz,97,29Mi,1703258879,128.0900237,,,
frontend-767bb5b6b6-cjccz,100,30Mi,1703258900,121.233494,,,
frontend-767bb5b6b6-cjccz,122,30Mi,1703258922,131.761081,,,
frontend-767bb5b6b6-cjccz,96,30Mi,1703258944,158.9604881,,,
frontend-767bb5b6b6-cjccz,107,30Mi,1703258965,126.7834892,,,
frontend-767bb5b6b6-cjccz,104,30Mi,1703258987,139.5564021,,,
frontend-767bb5b6b6-cjccz,109,30Mi,1703259009,137.3201424,,,
frontend-767bb5b6b6-cjccz,101,30Mi,1703259030,145.9646482,,,
frontend-767bb5b6b6-cjccz,103,30Mi,1703259052,133.5934185,,,
frontend-767bb5b6b6-cjccz,112,30Mi,1703259074,136.5834285,,,
frontend-767bb5b6b6-cjccz,96,30Mi,1703259095,149.1882024,,,
frontend-767bb5b6b6-cjccz,113,30Mi,1703259117,128.3858674,,,
frontend-767bb5b6b6-cjccz,93,30Mi,1703259138,139.7218754,,,
frontend-767bb5b6b6-cjccz,93,30Mi,1703259160,123.1827907,,,
frontend-767bb5b6b6-cjccz,89,30Mi,1703259182,123.5877478,,,
frontend-767bb5b6b6-cjccz,94,30Mi,1703259203,117.1830429,,,
frontend-767bb5b6b6-cjccz,87,30Mi,1703259225,124.7393948,,,
frontend-767bb5b6b6-cjccz,84,30Mi,1703259247,116.6840813,,,
frontend-767bb5b6b6-cjccz,99,30Mi,1703259268,113.3082653,,,
frontend-767bb5b6b6-cjccz,75,30Mi,1703259290,124.4698107,,,
frontend-767bb5b6b6-cjccz,91,30Mi,1703259311,125.6487008,,,
frontend-767bb5b6b6-cjccz,83,30Mi,1703259333,116.8998102,,,
frontend-767bb5b6b6-cjccz,83,30Mi,1703259355,109.9905689,,,
frontend-767bb5b6b6-cjccz,83,30Mi,1703259376,114.4507008,,,
frontend-767bb5b6b6-cjccz,89,30Mi,1703259398,110.4446977,,,
frontend-767bb5b6b6-cjccz,100,30Mi,1703259419,118.4399635,,,
frontend-767bb5b6b6-cjccz,82,30Mi,1703259441,131.330459,,,
